index    U_ins  U_ierr   U_std  U_serr   B_ins  B_ierr   B_std  B_serr   V_ins  V_ierr   V_std  V_serr   I_ins  I_ierr   I_std  I_serr
   203 13.9884  0.0077 17.3902  0.0570 13.4044  0.0050 15.8122  0.0117 11.2365  0.0021 14.2879  0.0035 11.4176  0.0026 12.6663  0.0030
   206 10.6074  0.0014 13.9067  0.0033 11.4046  0.0023 13.9714  0.0027 10.3864  0.0014 13.4243  0.0021 11.4261  0.0029 12.6783  0.0031
   227 13.9413  0.0076 17.6582  0.0692 13.3511  0.0052 15.7955  0.0113 11.2271  0.0022 14.2722  0.0035 11.4867  0.0027 12.7300  0.0032
   259 13.4007  0.0050 16.8084  0.0351 13.2315  0.0052 15.6840  0.0101 11.2959  0.0020 14.3275  0.0036 11.5958  0.0030 12.8305  0.0033
   263 11.0139  0.0017 14.3246  0.0047 11.6827  0.0022 14.2536  0.0033 10.6020  0.0014 13.6425  0.0024 11.6132  0.0030 12.8655  0.0035
   274 11.0311  0.0015 14.3512  0.0046 11.3717  0.0018 13.9467  0.0027 10.4539  0.0013 13.4863  0.0022 11.6321  0.0030 12.8790  0.0036
   275 14.2384  0.0092 17.8539  0.0827 13.6328  0.0056 16.0428  0.0141 11.4515  0.0027 14.4924  0.0041 11.6324  0.0026 12.8670  0.0035
   286 11.1894  0.0019 14.4951  0.0051 11.6164  0.0024 14.1763  0.0031 10.5917  0.0021 13.6233  0.0024 11.6545  0.0026 12.8856  0.0035
   295 13.7663  0.0070 17.2809  0.0533 13.4020  0.0051 15.8383  0.0120 11.3742  0.0021 14.4270  0.0039 11.6831  0.0028 12.9367  0.0037
   311 14.0295  0.0071 17.3852  0.0589 13.6014  0.0062 16.0587  0.0147 11.4982  0.0024 14.5611  0.0043 11.7082  0.0024 12.9606  0.0038
   313 13.8791  0.0069 17.2882  0.0529 13.5633  0.0052 16.0166  0.0138 11.5063  0.0024 14.5656  0.0043 11.7162  0.0026 12.9684  0.0038
   314 11.0498  0.0018 14.3615  0.0047 11.5915  0.0025 14.1928  0.0031 10.6141  0.0039 13.6564  0.0023 11.7164  0.0028 12.9492  0.0036
   321 10.8611  0.0021 14.1443  0.0041 11.5870  0.0020 14.1541  0.0031 10.6103  0.0017 13.6476  0.0024 11.7232  0.0033 12.9566  0.0038
   336 11.0964  0.0019 14.3868  0.0047 11.7928  0.0021 14.3547  0.0035 10.7148  0.0016 13.7630  0.0025 11.7570  0.0025 13.0068  0.0038
   341 11.0567  0.0019 14.3624  0.0046 11.6851  0.0025 14.2670  0.0033 10.7032  0.0019 13.7418  0.0025 11.7646  0.0033 13.0179  0.0038
   345 10.8294  0.0019 14.1295  0.0039 11.5608  0.0024 14.1408  0.0030 10.6248  0.0016 13.6590  0.0024 11.7706  0.0033 13.0210  0.0038
   350 10.8026  0.0015 14.1276  0.0038 11.2674  0.0016 13.8680  0.0025 10.4784  0.0017 13.5162  0.0022 11.7890  0.0028 13.0267  0.0039
   360 13.7132  0.0072 17.2052  0.0495 13.4712  0.0053 15.9347  0.0126 11.4866  0.0025 14.5360  0.0041 11.8080  0.0028 13.0417  0.0039
   364 12.0091  0.0025 15.3167  0.0100 12.3533  0.0033 14.8858  0.0052 10.9774  0.0022 14.0187  0.0030 11.8159  0.0030 13.0557  0.0039
   367 10.5793  0.0014 13.8960  0.0033 11.0994  0.0021 13.7166  0.0023 10.3977  0.0033 13.4306  0.0021 11.8019  0.0074 13.0544  0.0039
   383 10.8095  0.0015 14.0447  0.0038 11.5541  0.0023 14.0858  0.0029 10.6612  0.0028 13.6333  0.0023 11.8056  0.0067 13.0598  0.0038
